projects,Scripts,link,expectedCategory,,
devstack-gate,/devstack-vm-gate.sh,https://github.com/openstack/devstack-gate/blob/master/devstack-vm-gate.sh,Service Operations,,
devstack-gate,/functions.sh,https://github.com/openstack/devstack-gate/blob/master/functions.sh,Service Operations,,
devstack-vagrant,/puppet/modules/base/files/git_clone.sh,https://github.com/openstack/devstack-vagrant/blob/master/puppet/modules/base/files/git_clone.sh,Conf-Infrastructure-Setup,,
devstack-vagrant,/puppet/modules/devstack/files/local.sh,https://github.com/openstack/devstack-vagrant/blob/master/puppet/modules/devstack/files/local.sh,Conf-Infrastructure-Setup,,
diskimage-builder,/contrib/setup-gate-mirrors.sh,https://github.com/openstack/diskimage-builder/blob/master/contrib/setup-gate-mirrors.sh,Infrastructure variables,,
diskimage-builder,/diskimage_builder/elements/deploy-targetcli/extra-data.d/module/module-setup.sh,https://github.com/openstack/diskimage-builder/blob/master/diskimage_builder/elements/deploy-targetcli/extra-data.d/module/module-setup.sh,Conf-Infrastructure-Setup,,
diskimage-builder,/diskimage_builder/elements/dhcp-all-interfaces/install.d/dhcp-all-interfaces.sh,https://github.com/openstack/diskimage-builder/blob/master/diskimage_builder/elements/dhcp-all-interfaces/install.d/dhcp-all-interfaces.sh,Conf-Infrastructure-Setup,,
ec2-api,/devstack/plugin.sh,https://github.com/openstack/ec2-api/blob/master/devstack/plugin.sh,Service Operations,,
ec2-api,/install.sh,https://github.com/openstack/ec2-api/blob/master/install.sh,Service Operations,,
ec2-api,/tools/update-from-global-requirements.sh,https://github.com/openstack/ec2-api/blob/master/tools/update-from-global-requirements.sh,Service Operations,,
freezer,/devstack/gate_hook.sh,https://github.com/openstack/freezer/blob/master/devstack/gate_hook.sh,Service Operations,,
freezer,/devstack/plugin.sh,https://github.com/openstack/freezer/blob/master/devstack/plugin.sh,Service Operations,,
freezer-api,/devstack/gate_hook.sh,https://github.com/openstack/freezer-api/blob/master/devstack/gate_hook.sh,Service Operations,,
freezer-api,/devstack/plugin.sh,https://github.com/openstack/freezer-api/blob/master/devstack/plugin.sh,Service Operations,,
freezer-tempest-plugin,/devstack/plugin.sh,https://github.com/openstack/freezer-tempest-plugin/blob/master/devstack/plugin.sh,Service Operations,,
freezer-web-ui,/devstack/gate_hook.sh,https://github.com/openstack/freezer-web-ui/blob/master/devstack/gate_hook.sh,Service Operations,,
freezer-web-ui,/devstack/plugin.sh,https://github.com/openstack/freezer-web-ui/blob/master/devstack/plugin.sh,Service Operations,,
freezer-web-ui,/tools/with_venv.sh,https://github.com/openstack/freezer-web-ui/blob/master/tools/with_venv.sh,Service Operations,,
freezer-web-ui,/projects/10_keystone/resources.sh,https://github.com/openstack/grenade/blob/master/projects/10_keystone/resources.sh,Service Operations,,
freezer-web-ui,/projects/10_keystone/shutdown.sh,https://github.com/openstack/grenade/blob/master/projects/10_keystone/shutdown.sh,Service Operations,,
freezer-web-ui,/projects/10_keystone/upgrade.sh,https://github.com/openstack/grenade/blob/master/projects/10_keystone/upgrade.sh,Service Operations,,
freezer-web-ui,/projects/15_placement/upgrade.sh,https://github.com/openstack/grenade/blob/master/projects/15_placement/upgrade.sh,Service Operations,,
freezer-web-ui,/projects/30_swift/resources.sh,https://github.com/openstack/grenade/blob/master/projects/30_swift/resources.sh,Service Operations,,
freezer-web-ui,/projects/30_swift/shutdown.sh,https://github.com/openstack/grenade/blob/master/projects/30_swift/shutdown.sh,Service Operations,,
freezer-web-ui,/projects/30_swift/upgrade.sh,https://github.com/openstack/grenade/blob/master/projects/30_swift/upgrade.sh,Service Operations,,
freezer-web-ui,/projects/40_glance/shutdown.sh,https://github.com/openstack/grenade/blob/master/projects/40_glance/shutdown.sh,Service Operations,,
freezer-web-ui,/projects/40_glance/upgrade.sh,https://github.com/openstack/grenade/blob/master/projects/40_glance/upgrade.sh,Service Operations,,
freezer-web-ui,/projects/50_neutron/resources.sh,https://github.com/openstack/grenade/blob/master/projects/50_neutron/resources.sh,Service Operations,,
freezer-web-ui,/projects/50_neutron/shutdown.sh,https://github.com/openstack/grenade/blob/master/projects/50_neutron/shutdown.sh,Service Operations,,
freezer-web-ui,/projects/50_neutron/upgrade.sh,https://github.com/openstack/grenade/blob/master/projects/50_neutron/upgrade.sh,Service Operations,,
